000000	Xerox 
000001	Xerox 
000002	Xerox 
000003	Xerox 
000004	Xerox 
000005	Xerox 
000006	Xerox 
000007	Xerox 
000008	Xerox 
000009	Xerox 
00000A	Omron Tateisi Electronics
00000B	Matrix 
00000C	Cisco Systems
00000D	Fibronics
00000E	Fujitsu Limited
00000F	Next
000010	Sytek
000011	Normerel Systemes
000012	Information Technology Limited
000013	Camex
000014	Netronix
000015	Datapoint 
000016	DU Pont Pixel Systems
000017	Oracle
000018	Webster Computer 
000019	Applied Dynamics International
00001A	Advanced Micro Devices
00001B	Novell
00001C	Bell Technologies
00001D	Cabletron Systems
00001E	Telsist Industria Electronica
00001F	Telco Systems
000020	Dataindustrier Diab AB
000021	Sureman Comp. & Commun..
000022	Visual Technology
000023	ABB Industrial Systems AB
000024	Connect AS
000025	Ramtek.
000026	SHA-KEN
000027	Japan Radio Company
000028	Prodigy Systems 
000029	IMC Networks.
00002A	TRW - Sedd/INP
00002B	Crisp AutomationInc
00002C	Autotote Limited
00002D	Chromatics Inc
00002E	Societe Evira
00002F	Timeplex
000030	VG Laboratory Systems
000031	Qpsx Communications
000032	Marconi plc
000033	Egan Machinery Company
000034	Network Resources 
000035	Spectragraphics 
000036	Atari 
000037	Oxford Metrics Limited
000038	CSS Labs
000039	Toshiba 
00003A	Chyron 
00003B	i Controls
00003C	Auspex Systems
00003D	Unisys
00003E	Simpact
00003F	Syntrex
000040	Applicon
000041	ICE 
000042	Metier Management Systems
000043	Micro Technology
000044	Castelle 
000045	Ford Aerospace & Comm..
000046	Olivetti North America
000047	Nicolet Instruments.
000048	Seiko Epson 
000049	Apricot Computers
00004A	ADC Codenoll Technology.
00004B	ICL Data Oy
00004C	NEC 
00004D	DCI 
00004E	Ampex 
00004F	Logicraft
000050	Radisys 
000051	HOB Electronic & KG
000052	Intrusion.com
000053	Compucorp
000054	Schneider Electric
000055	Commissariat A L`Energie Atom.
000056	DR. B. Struck
000057	Scitex 
000058	Racore Computer Products
